#KEY: original
#CATALOG NAME: TNA_SP106_7_Anne_(0043-0045)-1
#IMAGE NAME: 3848.png-3849.png
#LANGUAGE: FR
#TRANSCRIBER NAME: DK
#DATE OF TRANSCRIPTION: May 15, 2020
#TRANSCRIPTION TIME: 9h 50min
#STATUS:complete


#ORIGIN-CITY: N/A
#ORIGIN-COUNTRY: N/A
#DATE: 1702-03-08 - 1837-06-20


#IMAGE NAME: 3848.png

513|648|731|869|983 - A
877 - Novembre
621 - non obstant
607 - ni,n'y

185 - O
107 - ordre
122 - oient
158 - office
184 - oh
201 - ob
221|281 - oi
250 - officier
296|730 - ou
306 - oit
315 - os
634|317 - on
322 - occasion
347 - oe
373 - op
380 - og
391 - oblig
406 - or
446|469 - ombrage
463 - oqu
465 - ox
515 - occup
539 - ol
551 - ordinaire
561 - of
781 - od
784 - ov
817 - ot
822 - octobre
865 - onze
950 - om
959 - oz
985 - oc

126 - P
133 - po
140 - paroit
141 - pretext
144 - plus
150 - parceque
151 - pi
172 - Paris
182 - persuade
214 - pretention
228 - porte
234|650 - pro
254 - pres
257 - preven
258 - pra
261 - pour
276 - Prusse
307 - propre
311 - peutetre
339|622|667 - Prince
635|352 - point
361 - pli
375 - Pouebla
420 - pa
425 - per
430 - port
440 - pris
455 - protest
494 - puis
510 - put/peut?
518 - plo
525 - preten
533 - ple
547 - premier
553|930 - pas
554 - Poudewils
588 - pre
603 - paix
611 - pe
616 - Pologne
630 - plusieurs
636 - Princesse
646 - pou
658 - Petersbourg
702 - plenipotentiaire
704 - pouvoir
716 - plai
735 - prochain
754 - post
908|774 - pru
786 - plu
795 - Panin
803 - Puissance
813 - pu
823 - pret
826 - passe
890 - Potsdam
919 - pla
926 - pri
977 - perte

943 - Q
198 - qu'u
203 - quel
236 - qui
249 - qua
272 - quatre
299 - quo
319 - quoique
324 - quatorze
408 - quelle
426|613|891 - que
441 - qu'il
578 - quelqu'un
591 - qu'un
756 - qu'on,quel'on
831 - quasi
793 - qu'ils
564 - quinze
488 - quelque

696 - R
179 - rest
219 - re
303 - repon
336 - regiment
338 - respect
633 - Royaume
358 - romp
410 - raport
479 - ru
485 - ri
530 - rend
668 - ro
676 - Resident
744 - Reischach
810 - raison
824 - rr
856 - Russie
900 - ra
982 - reussi
537|188 - rou
514 - Roi

709|723 - S
115 - si
134 - six
189 - subside
196 - Secretaire
100 - serui
207 - somme
215 - sur
