sign	tokens	icit	m77_added	initial	medial	final	left	right	as_name_end_740	as_name_end_520	numeral	fish_series	fairservis	anchor	role
154	37	37	0	0%	22%	78%	806:16 3:4 388:2	$:29 400:7 32:1	0	0			A-8 a combination of A-7 + J-5		other
467	36	7	29	56%	44%	0%	^:20 740:4 31:2	806:31 550:1 527:1	0	0					other
171	35	19	16	66%	29%	6%	^:23 61:4 745:2	35:20 32:4 $:4	0	0			K-10 weighing scales		other
500	34	16	18	12%	79%	9%	705:17 ^:4 91:2	741:22 $:3 740:2	2	0			K-8 K-6a variant (?)		other
165	34	19	15	38%	26%	35%	^:13 900:12 741:2	$:13 244:2 740:2	2	0			K-17 spiral curl, (also) *assemble		other
298	33	7	26	18%	58%	24%	350:9 ^:6 741:2	2:11 $:9 820:3	0	0					other
347	32	9	23	47%	50%	3%	^:15 585:7 717:6	520:11 741:8 595:5	0	1				multi-headed animal (moulded tablets, provisional)	other
621	32	19	13	50%	3%	47%	^:16 740:6 520:4	$:27 705:2 740:2	1	0			I-10 a winnowing tray		other
236	31	21	10	19%	39%	42%	2:10 ^:6 220:5	$:15 400:7 440:2	0	0		yes			other
501	31	31	0	94%	6%	0%	^:29 706:1 31:1	405:29 368:1 861:1	0	0			K-7 (hatched cone)		other
315	30	8	22	43%	47%	10%	^:13 850:4 2:2	$:4 920:4 741:3	0	1			G-6 space between two poles		other
480	28	19	9	25%	71%	4%	850:9 ^:7 140:2	1:9 31:5 820:3	1	0			P-4 head, an affix; an independent sign also (caret)		other
35	28	15	13	25%	46%	29%	171:20 ^:7 2:1	$:10 740:5 415:4	4	0	5 long				numeral
158	27	27	0	4%	52%	44%	806:11 904:4 3:2	400:13 $:12 740:1	1	0					other
97	27	16	11	48%	52%	0%	^:13 700:8 31:2	151:12 400:9 161:3	0	0			A-14 a man with two staffs		other
645	27	14	13	22%	63%	15%	104:9 ^:6 3:5	590:9 $:6 32:2	1	0				cross motif (weak)	other
269	26	8	18	12%	62%	27%	140:5 741:4 ^:3	$:7 740:6 2:4	6	0					740-name
555	25	17	8	12%	84%	4%	235:7 233:4 231:3	527:21 526:3 $:1	0	0					other
336	25	8	17	12%	88%	0%	176:8 484:5 18:4	740:22 151:2 204:1	21	0					740-name
630	24	24	0	54%	46%	0%	^:13 240:3 220:2	740:14 794:3 175:1	14	0					740-name
104	24	17	7	71%	25%	4%	^:17 2:3 745:2	645:9 615:3 4:2	0	0					other
190	24	14	10	50%	46%	4%	^:12 2:4 190:3	2:3 190:3 297:2	1	0					other
831	23	14	9	57%	39%	4%	^:13 2:2 175:2	892:8 615:5 741:2	1	0					other
175	23	15	8	39%	52%	9%	^:9 2:4 176:4	520:3 760:3 $:3	1	3					other
321	23	13	10	4%	96%	0%	407:12 405:10 ^:1	407:12 405:11	0	0					other
510	22	8	14	55%	36%	9%	^:12 32:2 741:1	460:16 $:2 165:1	0	0			G-10 enclosure with two pillars or poles		other
222	22	16	6	23%	77%	0%	233:6 235:5 ^:5	740:21 235:1	21	0		yes			740-name
137	22	14	8	59%	5%	36%	^:13 2:6 413:1	$:11 400:9 33:1	0	0					other
605	21	12	9	71%	29%	0%	^:15 2:4 176:1	760:17 700:1 338:1	0	0			G-22 stairway or stairs		other
890	21	11	10	0%	100%	0%	417:8 2:7 104:2	892:15 317:1 400:1	1	0			H-2 bow		other
426	20	5	15	10%	10%	80%	3:17 ^:2 33:1	$:16 176:2 33:1	0	0					other
679	20	13	7	25%	0%	75%	740:12 ^:5 60:1	$:16 840:2 2:2	0	0					other
636	19	19	0	0%	100%	0%	240:19	740:16 690:3	16	0					740-name
921	19	12	7	37%	53%	11%	^:7 315:2 240:1	70:8 690:3 $:3	0	0					other
565	19	11	8	16%	11%	74%	740:9 ^:3 741:2	$:16 400:1 1:1	1	0					other
