# No. 95 (30 Sept 1812), frames 0228, 0229, 0233, 0234L (codes_ford1812_no95.txt) aligned group by group with the
# Department's decypherment as printed by Ford 4:389-391 (clear copy on frames 0230-0232).
# python align.py codes_ford1812_no95.txt code_table.tsv
# number<TAB>value<TAB>frame+block (Ford page; note)<TAB>grade: C = fixed by Ford between known neighbours; M = split or digit is a judgement
347	fit	0228-0234 No.95 row 79 (Ford 4:389-391)	C
1176	which	0228-0234 No.95 row 80 (Ford 4:389-391)	C
169	he	0228-0234 No.95 row 81 (Ford 4:389-391)	C
295	ex	0228-0234 No.95 row 82 (Ford 4:389-391)	C
518	pected	0228-0234 No.95 row 83 (Ford 4:389-391)	C
184	his	0228-0234 No.95 row 84 (Ford 4:389-391)	C
384	sub	0228-0234 No.95 row 85 (Ford 4:389-391)	C
1411	jects	0228-0234 No.95 row 86 (Ford 4:389-391)	C
1199	would	0228-0234 No.95 row 87 (Ford 4:389-391)	C
809	de	0228-0234 No.95 row 88 (Ford 4:389-391)	C
1680	rive	0228-0234 No.95 row 89 (Ford 4:389-391; de-rive; number over 1600 doubtful)	M
1042	com	0228-0234 No.95 row 90 (Ford 4:389-391)	C
639	mer	0228-0234 No.95 row 91 (Ford 4:389-391)	C
1028	ci	0228-0234 No.95 row 92 (Ford 4:389-391)	C
1538	ally	0228-0234 No.95 row 93 (Ford 4:389-391)	C
999	from	0228-0234 No.95 row 94 (Ford 4:389-391)	C
1384	that	0228-0234 No.95 row 95 (Ford 4:389-391)	C
283	event	0228-0234 No.95 row 96 (Ford 4:389-391)	C
809	de	0228-0234 No.95 row 97 (Ford 4:389-391)	C
321	feat	0228-0234 No.95 row 98 (Ford 4:389-391; de-feat-ed)	C
520	ed	0228-0234 No.95 row 99 (Ford 4:389-391)	C
668	and	0228-0234 No.95 row 100 (Ford 4:389-391)	C
887	lo	0228-0234 No.95 row 101 (Ford 4:389-391)	C
262	st	0228-0234 No.95 row 102 (Ford 4:389-391)	C
792	by	0228-0234 No.95 row 103 (Ford 4:389-391)	C
1385	the	0228-0234 No.95 row 104 (Ford 4:389-391)	C
436	new	0228-0234 No.95 row 105 (Ford 4:389-391)	C
