# JQA St Petersburg code (the = 1385), one value per number, built by consolidate.py
# number	value	grade (H clerk decode, C Ford-aligned, M uncertain, I slot inference)	support
1450	king	C	override: sp-ea-king (0066b1, 0063b2, Ford 4:63, 4:74); clerk Countries at 0190R2 is a misalignment
1451	kn	C	4x; also knew
1452	ll	C	3x; also l/lor/?
1453	la	H	6x; also sence/pla/irr/port
1454	ri	C	1x; also lan
1455	lar	C	4x; also ir
1456	large	H	1x
1457	last	H	override: clerk 0182L2 'last'; with the doubling mark (1457+) = ll: 'the Chan-ce-ll-or' 1385 1025 1016 1457+ 908 in No. 73 (0165, Ford 4:256) and No. 88 gap88 l.2
1458	late	H	5x; also lat
1459	lations	C	1x; also lation/tions
1460	law	H	2x
1461	rest	H	4x; also st
1464	ri	H	11x; also weight/rience
1467	ric	M	1x
1471	rig	C	2x
1472	right	H	2x; also rights
1474	her	H	1x
1476	rise	C	1x; also tion
1477	un	M	1x
1479	riv	I	1x
1480	prive	M	1x
1481	into	C	1x
1482	k	M	1x
1484	ms	M	2x; also orm
1485	Ro	H	1x; also n
1486	ro	C	8x
1487	id	M	1x
1489	worn/soon	M	1x; also ro
1491	rou	C	1x
1493	ong	H	1x
1494	rms	M	1x
1495	row	H	1x
1497	s	M	2x; also su/rs
1498	rt	C	1x; also art
1499	ru	H	2x
1500	act	C	1x
1501	a	H	66x; also ac/act/ob
1502	ab	C	4x; also object
1503	able	H	12x
1504	observed	H	1x
1505	about	H	2x
1507	ac	H	7x
1508	le (bable)	M	1x
1509	occa(sion)	M	1x
1510	act	H	7x
1513	ad	H	9x; also added/add/sad/al
1515	adv	M	2x; also ad
1516	af	C	2x
1517	affairs	M	2x; also ac/affair
1520	after	H	override: clerk 0184L12, 0190R30
1521	ag	C	3x; also agen
1522	again	C	2x
1523	against	H	4x; also a
1524	age	H	3x; also tageous/a/rage/tage/ge/am
1525	agent	C	1x; also al
1526	agree	H	2x
1528	aid	C	1x
1529	an	C	3x
1531	ain	H	1x; also air
1534	ak	C	4x; also kin
1535	al	H	override: clerk (al, all, als by the next letter)
1536	al	M	1x
1537	alliance	M	1x
1538	ally	H	5x; also allies
1540	along	I	override: No. 88 rem88 l.19 "…the em-pire, [than?] along the side of the Baltic"; slot 1537 alliance < 1538 ally < 1540; the single Ford 1811 alignment (ambass, M) does not fit here (22 Sept 2026)
1542	ab(sence)	M	1x
1544	am	H	9x
1546	am	C	4x; also ami
1548	among	C	2x; also although
1549	an	H	26x; also one
1550	ance	H	11x; also ances/(sanc)-/vanced
1551	o	C	2x; also open
1552	acle	M	1x
1553	proach	M	1x
1557	mance	M	1x
1561	ob	H	2x
1562	object	C	2x
1563	obliged	C	1x
1564	observed	M	1x; also assured
1565	obst	C	2x
1566	it	M	1x
1568	oc	C	1x
1569	occasion	H	4x
1570	occu	M	2x; also oc/occurr
1571	a	M	2x
1573	ad	M	2x; also ood/od
1575	adv	M	override: Ford 0132 (1811) adv-ice, and No. 88 gap88 "the Chancellor and adv-ice"; the two No. 95 readings "of" (M) are probably 1576 misread (22 Sept 2026)
1576	of	H	148x; also off/offs
1577	offer	C	3x
1578	old	M	1x
1579	often	C	1x
1580	cog	C	2x
1582	object	C	1x
1583	than (the?)	M	1x
1584	observed	C	1x
1585	Alex	M	override: the Emperor Alex-an-der (gap88 l.1); clerk values al/all elsewhere are the same group split differently
1586	oke	C	2x
1587	l	M	1x; also olent/tive/ol
1588	ally	M	1x
1592	on	H	21x; also leon/ons
1593	once	H	1x
1594	one	H	14x; also only
1595	ong	H	3x; also trong/al
1597	only	H	7x
1599	tion (this?)	M	1x; also ood
1635	al	C	2x
1653	ports	M	1x
1665	z	M	1x
1680	rive	M	1x
1864	tain	I	1x
