# JQA St Petersburg code (the = 1385), one value per number, built by consolidate.py
# number	value	grade (H clerk decode, C Ford-aligned, M uncertain, I slot inference)	support
411	nation	C	5x; also tral/nations
412	native	C	1x
413	natur	H	3x; also na
416	nd	M	override: clerk 0184L7 fi-nd, 0185R13 se-nd, 0185L9 manki-nd
417	ne	H	3x; also nec/e/ine
419	near	H	2x
420	near	H	2x
421	it	M	1x
422	ned	C	2x
423	need	C	1x
426	negotiate	I	override: No. 88 rem88 l.11 "had determined not to [negotiate] at all" (426 699 1535+; 1535 with the doubling mark = all); slot 423 need < 426 < 428 nei; replaces the earlier I reading ne (22 Sept 2026)
428	nei	M	1x
429	ner	H	2x
430	ness	M	override: clerk 0185R13 Nes-(selrode); ill-ness in No. 88
431	nest	C	1x
432	net	I	1x
433	never	H	5x
435	neutra	M	1x
436	new	H	8x; also news
437	nex	C	4x
438	ng	C	7x; also new
439	ni	H	5x; also ien/um/ne
440	vors	M	1x
442	twentieth	C	1x
444	19th	M	1x
446	ning	M	1x
448	upon	M	1x; also nish/fede
450	ink	M	1x
451	u	C	2x; also nue
452	va	C	4x; also e/ua
453	vail	C	2x; also avail
454	ual	M	4x; also su/tu/tual/val
455	uan	C	1x
457	vi	H	3x
458	ve	M	4x; also no/ues/ven/eve
459	ved	C	4x; also ni/ed/ued
460	ven	C	2x; also nat
463	ver	H	8x; also vous/ve
464	very	H	11x; also mutual
465	ves	M	1x
467	vi	H	9x; also vio
469	views	H	4x; also view
471	vin	H	6x
472	ving	C	1x
474	virtu	M	1x
476	ow	M	1x; also vis/which
477	sult	H	2x; also ult/ul/her
478	cal	M	1x; also vy/um
479	un	H	12x; also da/d
480	under	H	5x; also und
482	unless	C	2x
484	vo	H	5x
485	vol	C	1x
487	up	C	1x
488	upon	H	21x; also up/in
489	ni	C	1x
490	ur	H	6x; also ure/ra/su/tur
491	us	H	5x; also u/gainst
492	use	C	4x; also se
493	ut	C	2x
496	w (saw)	C	2x
497	wa	C	1x; also way/wan
498	war	H	18x; also ry
499	ward	C	2x
500	was	H	49x; also nicat/ti
501	e	M	override: clerk 0185L18, 0183R5-6 'e'; the e-va-cu-ation in No. 88
502	ea	C	override: sp-ea-king (0066b2, Ford 4:74), 0005b (Ford 4:9); pl-eas-ure (0093b1); the fa-il of No. 88 is 302, not 502 (re-read on 0206R l.1)
503	each	C	1x; also ti
504	tin	M	1x
505	made	M	1x; also peal
506	to	M	1x
507	tive	H	2x
508	rect	M	override: di-rect-ion (0063b2, Ford 4:63); but ear in ear-li-er, ear-nest-ly (0091, 0093, Ford 4:90-91): two values attested; di-rect-ly in No. 88
509	de	M	1x
510	fal	M	1x
513	peat	C	2x; also ea
518	rect	C	7x; also pect/pected
519	rect	M	1x
520	ed	H	52x; also tioned/ted
523	eed	M	1x
525	ef	H	7x; also en/ten
526	eg	M	1x; also ed/ence
527	ency?	M	1x
528	re (sovereign)	M	1x; also cei
529	ed	M	1x
533	either	C	2x
534	el	C	1x; also sel
538	else	H	1x
539	em	H	override: clerk 0190R10 sy-st-em; sys-tem in No. 88
541	insure	M	1x
544	em	H	1x
545	en	H	13x; also ens
546	ence	H	10x; also pendence/ences
547	cy	M	1x
548	end	C	4x
549	min	I	1x
550	ti	H	2x; also enemy
551	those	H	7x
552	thought	H	5x; also though
553	ty	M	1x
554	thr	C	4x
555	three	M	1x
557	those	H	6x; also ough
560	ti	H	16x; also tial/in/to
561	ti	M	1x; also those/til
562	tile	M	2x; also thought
563	time	H	3x
564	tin	H	3x; also ti
565	tion	H	20x; also tions
567	tive	C	2x
568	and	M	1x
569	to	H	129x
570	tol	H	7x
571	ton	M	1x
572	too	H	5x; also med
574	73	M	1x
575	toward	M	1x; also les/towards
576	towards	C	2x
577	tra	C	2x; also trans/tro
578	rect	M	1x; also april
580	ti	H	2x; also gratify/tical
581	lea	C	1x; also light
582	el	M	1x
583	you	M	1x; also time
584	chy	M	1x
