glyph	codepoints
712	E5E9
713	E5C5
714	E5CE
715	E243
716	E5F4
717	E5F2
718	E5F8
719	E60C
720	E5EB
721	E608
723	E5E8
725	E5BB
727	E5BB
728	E5E5
729	E5BD
731	E5BC
732	E5B9
733	E5E4
734	E5B8
735	E5E3
736	E5E1
740	E61B
741	E627
742	E62E
743	E62C
744	E62D
745	E63E
746	E63A
747	E634
748	E641
749	E643
750	E646
751	E645
752	E647
753	E662
760	E65D
761	E660
762	E663
763	E5D8
764	E65F
765	E65E
766	E664
767	E270
768	E271
770	E238
772	E23D
773	E242
775	E2BA
776	E2BA
777	E2C3
778	E2C2
780	E657
781	E657
782	E2C4
783	E2BC
784	E2BD
785	E2BB
786	E2BF
790	E696
791	E696 E696
792	E6D4 E6D4
793	E339 E697 E339
794	E6A8
795	E381
796	E382
797	E4A1
798	E1C3
799	E1C3 E4A1
801	E1C6
803	E6B2
804	E6BE
805	E6B6
806	E6B6
807	E6BF
808	E6C9
809	E6D4
810	E6CB
811	E6C5
812	E6D3
813	E6CC
814	E6CF
815	E6CD
816	E6D3
817	E708
818	E6E3
820	E6E8
821	E6E8 E6E8
822	E31C E6E8 E31C
823	E6E0
824	E6F8
825	E6E2
826	E710
827	E710
828	E6C4
829	E6DD
830	E6DF
831	E6DD
832	E6C4
833	E6D8
834	E6C8
835	E6C4
836	E6C4
837	E6C4
838	E6BD
839	E6E3
840	E684
841	E689
842	E688
843	E31C E684 E31C
844	E68F
845	E68B
849	E6A4
850	E695
851	E6A4
852	E70D
853	E6AD
854	E71C
855	E31C E695 E31C
856	E695
858	E6B0
859	E6B1
860	E6A5
861	E709
862	E720
863	E71E
864	E71F
865	E712
866	E721
868	E70E
869	E71B
870	E6FD
871	E717
872	E714
873	E719
874	E719
875	E715
876	E717
877	E6F4
878	E6FD
879	E6EC
880	E6FF
890	E37D
891	E37F
892	E38F
893	E38F E38F
894	E38D
895	E395
896	E37B
897	E37C
898	E38E
899	E34F
900	E33A
901	E33F
902	E350
903	E34C
904	E367
905	E36B
906	E365
907	E366
908	E37A
909	E2FB
910	E361
911	E2FC
912	E364
914	E339 E339 E339 E339
918	E347 E347 E347
919	E347 E347
920	E346
921	E353
922	E34B
923	E36F
924	E378
925	E373
926	E33D
927	E36A
928	E36E
930	E666
931	E665
932	E66A
933	E20B
940	E110
942	E112
943	E113
944	E10D
945	E6EB
946	E276
947	E403 E6C2 E6C1 E403
950	E222
951	E052
952	E14F
953	E343
956	E1E5
958	E4D9
12	2047
25	2047
106	2047
316	2047
376	2047
445	2047
515	2047
516	2047
546	2047
547	2047
606	2047
999	
