sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
3873	Rpr-1	Rupar	SEAL:R	Y	L/R	400 226 415	415 226 400	Bult
3874		Shortughai	SEAL:S	Y	R/L	426 3	3 426	Rhin
3875	Sktd-1	Surkotada	SEAL:S	Y	R/L	390 4 2 390 125 820	820 125 390 2 4 390	Bull1
3876	Sktd-2	Surkotada	SEAL:S	Y	R/L	740 60 390 803 740	740 803 390 60 740	
3882		Susa	SEAL:CY	Y	R/L	416 150 2 55 31 319 1 924	924 1 319 31 55 2 150 416	Gaur
3884		Tell Umma	TAG:L	Y	R/L	390 4 2 705 127	127 705 2 4 390	Bull1
3889		Unknown	SEAL:C	Y	R/L	740 740 1 550 467	467 550 1 740 740	Gaur
3890		Unknown	SEAL:S	Y	R/L	740 585 231 240 60 820	820 60 240 231 585 740	Bull1:W
3891		Unknown	SEAL:S	Y	R/L	740 100 415 927 60 920 31	31 920 60 927 415 100 740	Bull1:J
3892	?-3	Unknown	SEAL:S	Y	R/L	2 368 590 900	900 590 368 2	
3894	?-5	Unknown	TAB:B	Y	R/L	555 233 2 820	820 2 233 555	
3895	?-6	Unknown	TAB:B	Y	R/L	700 32	32 700	
3896		Unknown	SEAL:S	Y	R/L	740 222 235 2 820	820 2 235 222 740	Bull1:W
3897		Ur	SEAL:C	Y	R/L	93 340 924 220 528	528 220 924 340 93	Gaur
3898		Ur	SEAL:C	Y	R/L	2 4 328 1 803 415	415 803 1 328 4 2	Gaur
3900		Kanmer	IMPL	Y	R/L	413 933 31	31 933 413	Bull1
3901		Kanmer	IMPL	Y	R/L	136 31	31 136	Bull1
3902		Kanmer	IMPL	Y	R/L	931 0	0 931	Bull1
3903	M-1734	Mohenjo-daro	SEAL:S	Y	R/L	740 912	912 740	Bull1:W
3905	M-1664	Mohenjo-daro	SEAL:S	Y	R/L	812 500 60 920	920 60 500 812	Bull1:W
3906	M-1666	Mohenjo-daro	SEAL:S	Y	R/L	740 690 435 255 742 615 380	380 615 742 255 435 690 740	Bull1:W
3907	M-1669	Mohenjo-daro	SEAL:S	Y	L/R	740 390	390 740	Bull1:W
3908	M-1670	Mohenjo-daro	SEAL:S	Y	R/L	740 760 1 233 2 861	861 2 233 1 760 740	Bull1:II
3909	M-1698	Mohenjo-daro	SEAL:S	Y	R/L	740 482 33 705 2 861 803	803 861 2 705 33 482 740	Bull1:W
3912	H-1550	Harappa	POT:T:g	Y	R/L	31 700	700 31	
3915	H-1021	Harappa	SEAL:S	Y	R/L	90 740 235 741 572 368	368 572 741 235 740 90	Bull1:W
3916	H-1022	Harappa	SEAL:S	Y	R/L	368 861 501 31	31 501 861 368	Bull1:W
3918	H-1024	Harappa	SEAL:S	Y	R/L	740 443 388 231	231 388 443 740	Bull1:W
3921	H-1036	Harappa	SEAL:S	Y	R/L	153 31 700	700 31 153	Bull1
3924	H-1046	Harappa	SEAL:S	Y	R/L	151 390 590	590 390 151	Bull1:W
3925	H-1048	Harappa	SEAL:S	Y	R/L	740 32 840 235 2 817	817 2 235 840 32 740	Bull1:W
3926	H-1049	Harappa	SEAL:S	Y	R/L	405 4 2 933	933 2 4 405	Bull1:W
3927	H-1075	Harappa	SEAL:R	Y	R/L	742 440 556	556 440 742	
3930	H-1076	Harappa	SEAL:R	Y	R/L	740 611 706 2 820	820 2 706 611 740	
3932	H-2137	Harappa	TAB:I	Y	R/L	740 100 176	176 100 740	
3934	H-2282	Harappa	POT:T:g	Y	R/L	34 32 32	32 32 34	
3935	H-2283	Harappa	POT:T:g	Y	R/L	34 999 34	34 999 34	
3949	H-1126	Harappa	TAB:B	Y	R/L	740 850	850 740	
3950	H-1084	Harappa	POT:T:s	Y	R/L	220 32	32 220	
3952		Dholavira	TAG	Y	L/R	740 220	220 740	
3953		Wattoowala	SEAL:S	Y	L/R	365 527	527 365	Goat:6
3959	H-1100	Harappa	TAB:B	Y	R/L	700 32	32 700	Bull2
3960	H-1114	Harappa	TAB:B	Y	R/L	400 740 405 590 235 806	806 235 590 405 740 400	
3965	H-1104	Harappa	TAB:B	Y	R/L	158 806 465	465 806 158	Phyt
3966	H-1105	Harappa	TAB:B	Y	R/L	158 806 465	465 806 158	Phyt
3967	H-1107	Harappa	TAB:B	Y	R/L	740 390 590 235	235 590 390 740	Phyt
3969	H-1124	Harappa	TAB:B	Y	R/L	700 33	33 700	
