sealid	cisi	site	type	complete	direction	signs_visual	signs_reading	motif
M77-1348		Mohenjo-daro	M77	Y	M77	140 920 575 226	140 920 575 226	
M77-1349		Mohenjo-daro	M77	Y	M77	? 368 2 235 832	? 368 2 235 832	
M77-1357		Mohenjo-daro	M77	Y	M77	298 ? 32	298 ? 32	
M77-1358		Mohenjo-daro	M77	Y	M77	90 615	90 615	
M77-1362		Mohenjo-daro	M77	Y	M77	803 231 520 ?	803 231 520 ?	
M77-1368		Mohenjo-daro	M77	Y	M77	220 740 679	220 740 679	
M77-1372		Mohenjo-daro	M77	Y	M77	861 2 415	861 2 415	
M77-1374		Mohenjo-daro	M77	Y	M77	235 773 740	235 773 740	
M77-1379		Mohenjo-daro	M77	Y	M77	235 240 255	235 240 255	
M77-1381		Mohenjo-daro	M77	Y	M77	140 840	140 840	
M77-1382		Mohenjo-daro	M77	Y	M77	?	?	
M77-1383		Mohenjo-daro	M77	Y	M77	140	140	
M77-1385		Mohenjo-daro	M77	Y	M77	31 ? 760 740	31 ? 760 740	
M77-1389		Mohenjo-daro	M77	Y	M77	455 705 832 595 0 257 455	455 705 832 595 0 257 455	
M77-1391		Mohenjo-daro	M77	Y	M77	570 2 ? ? 760 740	570 2 ? ? 760 740	
M77-1392		Mohenjo-daro	M77	Y	M77	721 390	721 390	
M77-1393		Mohenjo-daro	M77	Y	M77	17 585 100 ? 740	17 585 100 ? 740	
M77-1394		Mohenjo-daro	M77	Y	M77	? 368 ?	? 368 ?	
M77-1396		Mohenjo-daro	M77	Y	M77	877 2 235 0 692 892 861	877 2 235 0 692 892 861	
M77-1397		Mohenjo-daro	M77	Y	M77	717 705 298 ? 842	717 705 298 ? 842	
M77-1398		Mohenjo-daro	M77	Y	M77	798 231	798 231	
M77-1399		Mohenjo-daro	M77	Y	M77	798 415 220	798 415 220	
M77-1400		unknown	M77	Y	M77	820 2 235 240 231 520 0 466 705 760 740 0 33 832 298 125 390 861 255	820 2 235 240 231 520 0 466 705 760 740 0 33 832 298 125 390 861 255	
M77-1402		unknown	M77	Y	M77	590 740 745 1 5 405	590 740 745 1 5 405	
M77-1408		unknown	M77	Y	M77	335 752	335 752	
M77-1409		unknown	M77	Y	M77	220 845 405	220 845 405	
M77-1410		unknown	M77	Y	M77	347 520 ? 405	347 520 ? 405	
M77-1412		unknown	M77	Y	M77	320 690 0 550 60 690 740	320 690 0 550 60 690 740	
M77-1417		unknown	M77	Y	M77	125 455 741	125 455 741	
M77-1418		unknown	M77	Y	M77	235 590 405 740 1 4 405	235 590 405 740 1 4 405	
M77-1423		unknown	M77	Y	M77	745 590 405 740	745 590 405 740	
M77-1424		unknown	M77	Y	M77	861 2 ? 142 615 615	861 2 ? 142 615 615	
M77-1432		unknown	M77	Y	M77	2 ? 32 877 740	2 ? 32 877 740	
M77-1434		unknown	M77	Y	M77	924 745 798	924 745 798	
M77-1435		unknown	M77	Y	M77	798 17 575 740 679 0 575 740 679	798 17 575 740 679 0 575 740 679	
M77-1436		unknown	M77	Y	M77	820 2 ? 467 806 156	820 2 ? 467 806 156	
M77-1439		unknown	M77	Y	M77	923 740 ? 16 405	923 740 ? 16 405	
M77-1442		unknown	M77	Y	M77	920 60 741 17 575	920 60 741 17 575	
M77-1445		unknown	M77	Y	M77	877 2 806	877 2 806	
M77-1448		unknown	M77	Y	M77	575 740 61 405	575 740 61 405	
M77-1452		unknown	M77	Y	M77	? 920 721 1 90	? 920 721 1 90	
M77-1454		unknown	M77	Y	M77	231 806 3 900	231 806 3 900	
M77-1455		unknown	M77	Y	M77	820 1 231 233	820 1 231 233	
M77-1458		unknown	M77	Y	M77	798 415 220 845 405	798 415 220 845 405	
M77-1459		unknown	M77	Y	M77	745 503 460 740	745 503 460 740	
M77-1461		unknown	M77	Y	M77	360 ? 745 904	360 ? 745 904	
M77-1462		unknown	M77	Y	M77	920 60 742 803	920 60 742 803	
M77-1463		unknown	M77	Y	M77	705 820 595	705 820 595	
M77-1471		unknown	M77	Y	M77	? 250 ? 0 4 495 ? 0 ? 900 0 900 484 380 900 0 3	? 250 ? 0 4 495 ? 0 ? 900 0 900 484 380 900 0 3	
M77-1474		unknown	M77	Y	M77	220 717 740	220 717 740	
M77-1475		unknown	M77	Y	M77	700 700 861 2 0 176 156	700 700 861 2 0 176 156	
M77-1478		unknown	M77	Y	M77	820 60 ? 832 140 ? 55	820 60 ? 832 140 ? 55	
M77-1479		unknown	M77	Y	M77	550 520 400	550 520 400	
M77-1480		unknown	M77	Y	M77	226	226	
M77-1482		unknown	M77	Y	M77	?	?	
M77-1483		unknown	M77	Y	M77	90 90	90 90	
M77-1486		unknown	M77	Y	M77	861	861	
